Title,Authors,Year,Journal,DOI,Abstract,LLM
"The N2-, O2-, and air-broadened halfwidths and line mixing parameters of the N2O molecule and their temperature dependences","Q. Ma, C. Boulet",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109628,,Relevant: fallback empty
"The j and k dependencies of N2-, O2-, and air-broadened halfwidths of the CH3CN molecule","Q. Ma, C. Boulet",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2024.109265,,Relevant: fallback empty
Water vapor line broadening and shift coefficients induced by carbon dioxide in the 8600–9000 cm-1 spectral region,"T.M. Petrova, A.M. Solodov, A.A. Solodov, V.M. Deichuli, N.N. Lavrentieva, A.S. Dudaryonok",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109577,,Relevant: fallback empty
Measurements of H2O-N2 line shape parameters and the determination of the intermolecular potential for complex Robert-Bonamy-Ma calculations,"Robert R. Gamache, Keeyoon Sung, Bastien Vispoel, Nicholas G. Orphanos, Geoffrey C. Toon",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109570,,Relevant: fallback empty
Assembly fluorescent probe-based detection of gamma-glutamyl transferase activity in tumor,"Weiwang Zheng, Jing Wu, Nannan Song, Baonan Zhang, Chunhui Jin, Weibo Zhao, Kai Wang, Shenghua Wang, Xiaodan Zhu, Cui Sun",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126381,,Relevant: fallback empty
"Simulated Raman libraries of gaseous CO, H2, N2, O2, CO2, and H2O for high-temperature diagnostics","Johannes Lill, Andreas Dreizler, Dirk Geyer",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109449,,Relevant: fallback empty
"A large Stokes shift peptide-based fluorescent probe for Cd2+ and Hg2+ detection in aqueous solution and its applications in bioimaging, real sample, logic gate and smartphone device","Chunmei Pu, Shiyang Li, Xinlin Cao, Jun Chen, Peng Wang, Jiang Wu",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126599,,Relevant: fallback empty
Construction of a mitochondria-targeted NIR probe with large Stokes shift for real-time monitoring viscosity changes during ferroptosis,"Yongfei Huang, Zifan Gao, Zhefeng Fan",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126488,,Relevant: fallback empty
"Low-temperature and pressure-induced conformational change in Tutton salt K2Ni(H2O)6(SO4)2: Structural, vibrational and magnetic properties combined with DFT calculations","Raí F. Jucá, Tiago S. Pacheco, João G. de Oliveira Neto, Luiz F.L. da Silva, José A.S. da Silva, J. Alves de Lima, Paulo de Tarso C. Freire, Santunu Ghosh, Edinei C. Paiva, João M. Soares, Gilberto D. Saraiva",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126486,,Relevant: fallback empty
Shift of the linear polarization angle of light scattered by anisotropic aerosol and hydrosol particles,"Ynon Hefets, Carynelisa Haspel",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109593,,Relevant: fallback empty
Theoretical and experimental electron collisions broadening parameters for several Sc II spectral lines of industrial and astrophysical interest,"Lucía Isidoro-García, Isabel de Andrés-García, Juan Porro, Francisco Fernández, Cristóbal Colón",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109587,,Relevant: fallback empty
Experimental and theoretical investigation on N2 pressure-induced coefficients of the lowest rotational transitions of HCN,"Francesca Tonolo, Hubert J. Jóźwiak, Luca Bizzocchi, Mattia Melosso, Piotr Wcisło, François Lique, Cristina Puzzarini",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109521,,Relevant: Investigates N2 pressure-induced coefficients of HCN rotational transitions
Measurements and calculations of H2O broadened by CO2 collisional parameters for planetary atmospheres,"É. Ducreux, B. Vispoel, B. Grouiez, R.R. Gamache, M. Lepère, S. Robert, L. Régalia",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109576,,Relevant: Measures H2O broadening by CO2 collisional parameters for planetary atmospheres
Collisional broadening and pressure shift coefficients for the potassium D1 and D2 transitions in oxygen and carbon dioxide at high temperatures,"Joshua A. Vandervort, Konstantinos Kotsarinis, Spencer C. Barnes, Christopher L. Strand, Ronald K. Hanson",2024,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2024.109152,,Relevant: fallback empty
"Quantum calculation of the pressure broadening of
            <i>H</i>
            and
            <i>K</i>
            lines of Ca
            <sup>+</sup>
            calcium ion in a gaz of ground-state He helium atoms","Ouissal Smida, Louardi Yandjah, Kamel Alioua",2024,Molecular Physics,10.1080/00268976.2024.2345740,,Relevant: fallback empty
"Broadening of He 1083nm, 388.8 nm, 501.6 nm, 587.5 nm, 667.8 nm, 706.5 nm, 728.1 nm lines and of H(α), H(β) and O 777 nm lines in atmospheric pressure helium",Nader Sadeghi,2024,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2023.108868,,Relevant: fallback empty
"Pressure broadening in Raman spectra of CH4–N2, CH4–CO2, and CH4–C2H6 gas mixtures","Aleksandr S. Tanichev, Dmitry V. Petrov",2023,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2023.122396,,Relevant: fallback empty
An edoplasmic reticulum-targeted NIR fluorescent probe with a large Stokes shift for hypoxia imaging,"Ting Lan, Nan Ji, Qin-qin Tian, Yu Zhan, Wei He",2023,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2022.122201,,Relevant: fallback empty
"Collisional broadening and pressure shift of the potassium resonance doublets by nitrogen, helium, and hydrogen at high temperatures","Yiming Ding, Joshua A. Vandervort, Richard S. Freedman, Christopher L. Strand, Mark S. Marley, Ronald K. Hanson",2022,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2022.108149,,Relevant: fallback empty
"Line coupling and line mixing effects on calculated widths of symmetric-top molecules with the k-degeneracy: A theoretical study of N2-, O2-, and air-broadened lines of CH3I","C. Boulet, Q. Ma",2022,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2022.108273,,Relevant: fallback empty
Temperature-dependence parameters for CH3I-O2 and CH3I-air line-broadening coefficients,"J. Buldyreva, A. Dudaryonok, N. Lavrentieva",2022,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2022.108164,,Relevant: fallback empty
Nitrogen dioxide line shift coefficients induced by air pressure,"N. N. Lavrentieva, A. S. Dudaryonok",2022,Molecular Physics,10.1080/00268976.2022.2052370,,Relevant: fallback empty
"N2-, O2- and Air-broadened half-widths and line shifts of methyl chloride in the 10 µm region","O. Ben Fathallah, L. Manceron, N. Dridi, M. Rotger, H. Aroui",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2021.107509,,Relevant: fallback empty
Measurement of pressure shift and broadening coefficients for Ne 3s[3/2]2→3p[5/2]3 transition in Ne and He using diode-laser absorption spectroscopy,"A K Chernyshov, P A Mikheyev, N I Ufimtsev",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107368,,Relevant: fallback empty
Research on a method of eliminating the line broadening caused by the wavelength shift based on the first harmonic,"Tang Qi-xing, Zhang Yu-jun, Chen Dong, He Ying",2021,Optics Express,10.1364/oe.442789,"Using laser spectroscopy for gas detection, short-term rapid changes in ambient temperature, system noise, and circuit aging are likely to cause line broadening, which affects the accuracy of gas concentration measurement. Firstly, the correction method of the impact on line broadening is analyzed theoretically. A method is proposed to eliminate the line broadening caused by the wavelength shift based on the first harmonic detection. After removing the background noise and filtering, the standard harmonic fitting and broadening elimination are carried out. Meanwhile, a methane gas detection system is established and experiments are conducted. The experimental results show that after the standard harmonic fitting, the maximum value of the baseline is reduced from 2 to 0.078, and the maximum absolute value of the baseline in the absorption-free region is reduced from 2.07 to 0.072. The standard deviation after the broadening correction is 0.047, and the standard deviation without considering the effect of broadening is 0.203, which proves that the accuracy of trace gas detection is improved and has good engineering practical value.",Relevant: fallback empty
"Line intensity parameters, He-broadening and line shift coefficients in the 2<i>v</i><sub>2</sub><sup>0</sup> and 3<i>v</i><sub>2</sub><sup>1</sup> − <i>v</i><sub>2</sub><sup>1</sup> bands of OCS","N. Dridi, C. Jellali, F. Hmida, L. Hui, F. Kwabia Tchana, X. Landsheere, K. Hammami, M. Rotger, H. Aroui",2021,Molecular Physics,10.1080/00268976.2021.2010821,,Relevant: fallback empty
"Air-broadening in near-infrared carbon dioxide line shapes: Quantifying contributions from O2, N2, and Ar","Erin M. Adkins, David A. Long, Joseph T. Hodges",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2021.107669,,Relevant: fallback empty
"Ammonia line strengths and N2-, O2-, Ar-, He-, and self-broadening coefficients in the v2 band near 10.4 µm","Sulaiman A. Alturaifi, Eric L. Petersen",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2021.107516,,Relevant: fallback empty
"Opposite behavior of ultrafast dynamics of exciton shift and linewidth broadening in bilayer 
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>Re</mml:mi><mml:msub><mml:mi mathvariant=""normal"">S</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:mrow></mml:math>","Sangwan Sim, Ho-Seung Shin, Doeon Lee, Jekwan Lee, Myungjun Cha, Kyusang Lee, Hyunyong Choi",2021,Physical Review B,10.1103/physrevb.103.014309,,Relevant: fallback empty
Measurements and calculations of air-broadening and shift parameters of water vapour transitions in a wide spectral region,"T. M. Petrova, A. M. Solodov, A. A. Solodov, V. M. Deichuli, V. I. Starikov",2021,Molecular Physics,10.1080/00268976.2021.1906967,,Relevant: fallback empty
Assessing surface air pressure sensing using 118 GHz O2-absorption radar system,"Bing Lin, Qilong Min, Yongxiang Hu",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107425,,Relevant: fallback empty
"Broadening, shift and narrowing coefficients in the 2ν4 band of NH3 perturbed by O2, N2 and air","N. Maaroufi, F. Hmida, F. Kwabia Tchana, X. Landsheere, H. Aroui",2021,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107393,,Relevant: fallback empty
H2-pressure broadening and frequency shifts of methane in the v2+v3 band measured in the temperature range between 80 and 370 K,"Keeyoon Sung, V. Malathy Devi, D. Chris Benner, Brian J. Drouin, Timothy J. Crawford, Arlan W. Mantz, Mary Ann H. Smith",2020,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107264,,Relevant: fallback empty
Design and performance of an E-band chirped pulse spectrometer for kinetics applications: OCS – He pressure broadening,"Brian M. Hays, Théo Guillaume, Thomas S. Hearne, Ilsa R. Cooke, Divita Gupta, Omar Abdelkader Khedaoui, Sébastien D. Le Picard, Ian R. Sims",2020,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107001,,Relevant: fallback empty
"Collisional broadening and shift of five OH A2Σ+←X2Π (0-0) transitions in the Q1-branch, by H2O, O2, CO2, N2 and Ar, at 1220 K","J.J. Girard, S. Clees, R.K. Hanson",2020,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2019.106681,,Relevant: fallback empty
O2- and N2-broadening parameters in the ν3 and 2ν3-ν3 bands of methyl chloride,"N. Dridi, L. Manceron, O. Ben Fathallah, M. Rotger, H. Aroui",2020,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2020.107180,,Relevant: fallback empty
H2-induced pressure broadening and pressure shift in the P-branch of the ν3 band of CH4 from 300 to 655 K,"Ehsan Gharib-Nezhad, Alan N. Heays, Hans A. Bechtel, James R. Lyons",2019,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2019.106649,,Relevant: fallback empty
R-branch line intensities and temperature-dependent line broadening and shift coefficients of the nitric oxide fundamental rovibrational band,"Christopher A. Almodovar, Wey-Wey Su, Christopher L. Strand, Ronald K. Hanson",2019,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2019.106612,,Relevant: fallback empty
Temperature dependence of pressure broadening and shift of Rb D2 line,"Yanchao Shi, Wei Zhang, Yi Zhang, Bitao Hu",2019,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2019.02.020,,Relevant: fallback empty
Measurement of pressure shift and broadening for Ar and Kr 4s[3/2]2 → 4p[5/2]3 transition in rare gases using diode-laser spectroscopy,"A.K. Chernyshov, P.A. Mikheyev, N.I. Ufimtsev",2019,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.10.010,,Relevant: fallback empty
Pressure broadening coefficients in the ν6 band of CH3F in collision with He,"D. Dhib, C. Ayari, E. Raddaoui, P. Soulard, M. Guinet, M. Dhib, H. Aroui",2018,Journal of Molecular Spectroscopy,10.1016/j.jms.2018.07.009,,Relevant: fallback empty
Pressure broadening and shift coefficients in the ν1 and ν3 bands of NH3,"N. Maaroufi, F. Kwabia Tchana, X. Landsheere, H. Aroui",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.09.001,,Relevant: fallback empty
"Study of Н2О line broadening and shifting by N2 pressure in the 16,600–17,060 cm−1 region using FT-spectrometer with LED source","V.I. Serdyukov, L.N. Sinitsa, S.S. Vasilchenko, N.N. Lavrentieva, A.S. Dudaryonok, A.P. Scherbakov",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.08.014,,Relevant: fallback empty
"Collisional-induced broadening and shift parameters of OH with Ar and N2 near 308.6 nm, measured at T = 1300–2000 K and P = 20–100 atm","J.J. Girard, R. Choudhary, R.K. Hanson",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.10.007,,Relevant: fallback empty
Measurements of the broadening and shift parameters of the carbon monoxide spectral lines in the 1–0 band induced by pressure of carbon dioxide,"Yu.G. Borkov, T.M. Petrova, A.M. Solodov, A.A. Solodov",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.08.031,,Relevant: fallback empty
High-temperature He- and O2-broadening of the R(12) line in the 1←0 band of carbon monoxide,"Clayton R. Mulvihill, Sulaiman A. Alturaifi, Eric L. Petersen",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.06.015,,Relevant: fallback empty
High-resolution Fourier transform measurements of air-induced broadening and shift coefficients in the 0002–0000 main isotopologue band of nitrous oxide,"Viktor Werwein, Gang Li, Anton Serdyukov, Jens Brunzendorf, Olav Werhahn, Volker Ebert",2018,Journal of Molecular Spectroscopy,10.1016/j.jms.2017.07.002,,Relevant: fallback empty
"Measurements of the broadening and shift parameters of the water vapor spectral lines in the 10,100–10,800 cm−1 region induced by pressure of carbon dioxide","Yu.G. Borkov, T.M. Petrova, A.M. Solodov, A.A. Solodov",2018,Journal of Molecular Spectroscopy,10.1016/j.jms.2017.10.010,,Relevant: fallback empty
The ExoMol pressure broadening diet: H2 and He line-broadening parameters,"Emma J. Barton, C. Hill, M. Czurylo, H.Y. Li, A. Hyslop, Sergei N. Yurchenko, Jonathan Tennyson",2017,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2017.01.028,,Relevant: fallback empty
"CO2-, He- and H2-broadening coefficients of SO2 for ν1 band and ground state transitions for astrophysical applications","Giorgia Ceselin, Nicola Tasinato, Cristina Puzzarini, Andrea Pietropolli Charmet, Paolo Stoppa, Santi Giorgianni",2017,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2017.02.018,,Relevant: fallback empty
"Line positions, pressure broadening and shift coefficients for the second overtone transitions of carbon monoxide in argon","G. Kowzan, K. Stec, M. Zaborowski, S. Wójtewicz, A. Cygan, D. Lisak, P. Masłowski, R.S. Trawiński",2017,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2016.12.035,,Relevant: fallback empty
"Radiative transition probabilities for the main diatomic electronic systems of N2, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:msubsup><mml:mi mathvariant=""normal"">N</mml:mi><mml:mrow><mml:mn>2</mml:mn></mml:mrow><mml:mo>+</mml:mo></mml:msubsup></mml:math>, NO, O2, CO, CO+, CN, C2 and H2 produced in plasma of atmospheric entry","Z. Qin, J.M. Zhao, L.H. Liu",2017,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2017.08.010,,Relevant: fallback empty
Collision induced broadening of ν1 band and ground state spectral lines of sulfur dioxide perturbed by N2 and O2,"Giorgia Ceselin, Nicola Tasinato, Cristina Puzzarini, Andrea Pietropolli Charmet, Paolo Stoppa, Santi Giorgianni",2017,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2017.05.013,,Relevant: fallback empty
"H 2 , He, and CO 2 line-broadening coefficients, pressure shifts and temperature-dependence exponents for the HITRAN database. Part 1: SO 2 , NH 3 , HF, HCl, OCS and C 2 H 2","Jonas S. Wilzewski, Iouli E. Gordon, Roman V. Kochanov, Christian Hill, Laurence S. Rothman",2016,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2015.09.003,,Relevant: fallback empty
Pressure broadening and shift rates for Ar (s–p) transitions observed in an Ar–He discharge,"Ben Eshel, Christopher A. Rice, Glen P. Perram",2016,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2016.03.006,,Relevant: fallback empty
CO2 pressure broadening and shift coefficients for the 2–0 band of 12C16O,"R. Hashemi, A. Predoi-Cross, A.S. Dudaryonok, N.N. Lavrentieva, A.C. Vandaele, J. Vander Auwera",2016,Journal of Molecular Spectroscopy,10.1016/j.jms.2016.02.014,,Relevant: fallback empty
"Pressure induced hyperfine shift and broadening rates of the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si0003.gif"" overflow=""scroll""><mml:msup><mml:mrow><mml:mn>5</mml:mn></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msup><mml:msub><mml:mrow><mml:mi>S</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>/</mml:mo><mml:mn>2</mml:mn></mml:mrow></mml:msub><mml:mo>→</mml:mo><mml:msup><mml:mrow><mml:mn>6</mml:mn></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msup><mml:msub><mml:mrow><mml:mi>P</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>/</mml:mo><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math> and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si0004.gif"" overflow=""scroll""><mml:msup><mml:mrow><mml:mn>5</mml:mn></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msup><mml:msub><mml:mrow><mml:mi>S</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>/</mml:mo><mml:mn>2</mml:mn></mml:mrow></mml:msub><mml:mo>→</mml:mo><mml:msup><mml:mrow><mml:mn>6</mml:mn></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msup><mml:msub><mml:mrow><mml:mi>P</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn><mml:mo>/</mml:mo><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math> transitions of rubidium with He, Ar, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si0097.gif"" overflow=""scroll""><mml:msub><mml:mrow><mml:mi>CH</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si0098.gif"" overflow=""scroll""><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">C</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">H</mml:mi></mml:mrow><mml:mrow><mml:mn>6</mml:mn></mml:mrow></mml:msub></mml:math>","M.R. Guy, E.M. Guild, J.W. Young, I.O. Sheets, G.A. Pitz",2016,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2015.09.004,,Relevant: fallback empty
"Infrared spectroscopy at high temperature : N2- and O2-broadening coefficients in the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:mrow><mml:msub><mml:mrow><mml:mi>ν</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math> band of CH4","Laurent Fissiaux, Jean-Claude Populaire, Ghislain Blanquet, Muriel Lepère",2015,Journal of Molecular Spectroscopy,10.1016/j.jms.2015.06.001,,Relevant: fallback empty
Pressure broadening of Ar and Kr (n+1)s[3/2]2→(n+1)p[5/2]3 transition in the parent gases and in He,"Pavel A. Mikheyev, Alexander K. Chernyshov, Nikolay I. Ufimtsev, Ekaterina A. Vorontsova, Valeriy N. Azyazov",2015,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2015.05.008,,Relevant: fallback empty
"Pressure broadening, -shift, speed dependence and line mixing in the ν 3 rovibrational band of N 2 O","Joep Loos, Manfred Birk, Georg Wagner",2015,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.10.008,,Relevant: fallback empty
Temperature dependences of N2-broadening and shift coefficients in the ν6 perpendicular band of 12CH3D,"A. Predoi-Cross, V. Malathy Devi, K. Sung, T. Sinyakova, J. Buldyreva, D. Chris Benner, M.A.H. Smith, A.W. Mantz",2015,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2015.05.006,,Relevant: Reports N2-broadening and shift coefficients in the ν6 band of 12CH3D
Measurements of N 2 -broadening and pressure-shift coefficients in the ν 3 -band of 12 CH 4 using a cw-OPO,"Mohammad Jahjah, Linh Nguyen, Marco P. Moreno, Malo Cadoret, Jean-Jacques Zondy",2015,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.10.006,,Relevant: Measures N2-broadening and pressure-shift coefficients in the ν3-band of 12CH4
"Measurements of linestrengths, N2-, Ar-, He- and self-broadening coefficients of acetylene in the ν4+ν5 combination band using a cw quantum cascade laser","Muhammad Bilal Sajid, Et-touhami Es-sebbar, Aamir Farooq",2014,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.06.014,,Relevant: fallback empty
Pressure broadening and shift of the rubidium D1 transition and potassium D2 transitions by various gases with comparison to other alkali rates,"Greg A. Pitz, Andrew J. Sandoval, Tiffany B. Tafoya, Wade L. Klennert, David A. Hostutler",2014,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.01.024,,Relevant: fallback empty
Measurements of the broadening and shift parameters of methane spectral lines in the 5550–6140cm−1 region induced by pressure of carbon dioxide,"O.M. Lyulin, T.M. Petrova, A.M. Solodov, A.A. Solodov, V.I. Perevalov",2014,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.05.027,,Relevant: Measures broadening and shift parameters of methane lines induced by CO2 pressure
